Symbol  Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
FOMX    11.23  10.08   9.89   5.00   4.25   4.41   4.65   5.27   5.19   5.53   6.12   5.70
PENN    13.90  13.70  14.63  18.59  18.60  19.38  21.46  20.19  22.24  23.29  26.26  28.94
HTLD    20.54  20.73  21.04  20.05  20.24  19.51  20.95  21.23  22.19  25.15  21.29  22.84
CIBR    19.67  20.85  21.18  21.77  21.46  22.03  21.77  21.30  21.71  21.95  22.43  22.60
ZYNE    16.39  17.38  23.00  20.24  20.98  18.69  17.13  14.50   6.31   8.88   9.70  13.69
AEGN    24.09  23.42  24.90  22.94  22.19  19.92  22.02  24.04  21.72  23.27  23.59  27.77
QCRH    43.25  42.00  44.15  42.55  45.75  43.90  47.55  46.45  43.70  45.50  48.15  45.35
BLMN    18.19  17.14  17.26  19.36  21.76  20.13  21.35  17.51  17.07  17.56  17.85  21.54
ECHO    25.35  23.95  22.15  21.30  18.75  18.75  20.00  13.75  15.20  19.00  24.45  27.05
TWOU    30.29  33.94  35.14  39.94  45.68  42.90  47.30  51.90  50.14  56.01  64.23  64.05
PRGS    32.00  28.22  28.98  29.12  29.85  29.35  31.00  32.11  33.59  38.30  42.51  41.34
GRIF    30.18  31.28  31.63  31.18  30.68  31.77  31.67  32.21  34.50  36.62  36.70  36.10
TA       7.15   7.15   6.50   6.10   6.15   4.05   4.15   3.70   3.30   4.25   4.90   4.50
MYGN    16.78  16.26  19.53  19.15  18.47  20.24  25.83  24.25  30.57  35.85  34.46  34.60
TCFC    27.35  29.52  33.98  36.00  35.95  34.96  38.93  36.48  35.23  35.50  36.11  36.25
