"","Player","Ht","Pos","MIN","FGM","FGA","BLK"
"0","DJ Williams",79,"G",150,17,40,5
"1","Jaylon Tate",75,"G",408,18,47,2
"2","Kipper Nichols",78,"F",286,39,86,7
"3","Te'Jon Lucas",72,"G",642,47,115,1
"5","Jalen Coleman-Lands",75,"G",850,94,257,4
"12","Leron Black",79,"F",627,101,223,3
"13","Tracy Abrams",74,"G",846,104,244,6
"21","Malcolm Hill",78,"G",1164,189,435,13
"22","Maverick Morgan",82,"C",895,143,265,28
"23","Aaron Jordan",77,"G",165,8,28,1
"33","Mike Thorne Jr.",83,"C",318,52,95,8
"35","Samson Oladimeji",76,"G",8,0,1,0
"41","Clayton Jones",72,"G",11,1,3,0
"43","Michael Finke",82,"F",635,83,172,5
"44","Alex Austin",76,"G",20,2,8,0
