"state","district","electedrep","party","medHouseIncome"
"Alabama","1","Bradley Byrne","R",47083
"Alabama","2","Martha Roby","R",42035
"Alabama","3","Mike Rogers","R",46544
"Alabama","4","Robert Aderholt","R",41110
"Alabama","5","Mo Brooks","R",51690
"Alabama","6","Gary Palmer","R",61413
"Alabama","7","Terri Sewell","D",34664
"Alaska","(at Large)","Don Young","R",76440
"Arizona","1","Tom O'Halleran","D",50537
"Arizona","2","Martha McSally","R",49072
"Arizona","3","Raul Grijalva","D",44224
"Arizona","4","Paul Gosar","R",49466
"Arizona","5","Andy Biggs","R",71693
"Arizona","6","David Schweikert","R",67830
"Arizona","7","Ruben Gallego","D",40991
"Arizona","8","Trent Franks","R",61754
"Arizona","9","Kyrsten Sinema","D",55349
"Arkansas","1","Rick Crawford","R",40492
"Arkansas","2","French Hill","R",49498
"Arkansas","3","Steve Womack","R",47903
"Arkansas","4","Bruce Westerman","R",39586
"California","1","Doug LaMalfa","R",47488
"California","2","Jared Huffman","D",66604
"California","3","John Garamendi","D",61508
"California","4","Tom McClintock","R",74074
"California","5","Mike Thompson","D",73006
"California","6","Doris Matsui","D",51932
"California","7","Ami Bera","D",68735
"California","8","Paul Cook","R",49194
"California","9","Jerry McNerney","D",61454
"California","10","Jeff Denham","R",60235
"California","11","Mark DeSaulnier","D",86000
"California","12","Nancy Pelosi","D",105918
"California","13","Barbara Lee","D",73601
"California","14","Jackie Speier","D",103850
"California","15","Eric Swalwell","D",106291
"California","16","Jim Costa","D",40207
"California","17","Ro Khanna","D",121150
"California","18","Anna Eshoo","D",125790
"California","19","Zoe Lofgren","D",93139
"California","20","Jimmy Panetta","D",67419
"California","21","David Valadao","R",41174
"California","22","Devin Nunes","R",56524
"California","23","Kevin McCarthy","R",54437
"California","24","Salud Carbajal","D",68929
"California","25","Steve Knight","R",75367
"California","26","Julia Brownley","D",76914
"California","27","Judy Chu","D",71223
"California","28","Adam Schiff","D",63940
"California","29","Tony Cardenas","D",50655
"California","30","Brad Sherman","D",76778
"California","31","Pete Aguilar","D",58668
"California","32","Grace Napolitano","D",67101
"California","33","Ted Lieu","D",101956
"California","34","Xavier Becerra","D",40847
"California","35","Norma Torres","D",57159
"California","36","Raul Ruiz","D",44567
"California","37","Karen Bass","D",55190
"California","38","Linda Sanchez","D",66421
"California","39","Ed Royce","R",85188
"California","40","Lucille Roybal-Allard","D",42902
"California","41","Mark Takano","D",62069
"California","42","Ken Calvert","R",76504
"California","43","Maxine Waters","D",54614
"California","44","Nanette Barragan","D",50890
"California","45","Mimi Walters","R",97356
"California","46","Lou Correa","D",61304
"California","47","Alan Lowenthal","D",65450
"California","48","Dana Rohrabacher","R",88903
"California","49","Darrell Issa","R",80877
"California","50","Duncan Hunter","R",71692
"California","51","Juan Vargas","D",46639
"California","52","Scott Peters","D",90854
"California","53","Susan Davis","D",69314
"Colorado","1","Diana DeGette","D",62718
"Colorado","2","Jared Polis","D",75659
"Colorado","3","Scott Tipton","R",50817
"Colorado","4","Ken Buck","R",67878
"Colorado","5","Doug Lamborn","R",62372
"Colorado","6","Mike Coffman","R",76451
"Colorado","7","Ed Perlmutter","D",66063
"Connecticut","1","John B. Larson","D",70215
"Connecticut","2","Joe Courtney","D",74784
"Connecticut","3","Rosa DeLauro","D",67774
"Connecticut","4","Jim Himes","D",94862
"Connecticut","5","Elizabeth Esty","D",68904
"Delaware","(at Large)","Lisa Blunt Rochester","D",61757
"District of Columbia","(at Large)","Eleanor Norton","D",75506
"Florida","1","Matt Gaetz","R",53006
"Florida","2","Neal Dunn","R",46062
"Florida","3","Ted Yoho","R",45970
"Florida","4","John Rutherford","R",68229
"Florida","5","Al Lawson","D",40932
"Florida","6","Ron DeSantis","R",46882
"Florida","7","Stephanie Murphy","D",57146
"Florida","8","Bill Posey","R",50752
"Florida","9","Darren Soto","D",49899
"Florida","10","Val Demings","D",50151
"Florida","11","Daniel Webster","R",43610
"Florida","12","Gus Bilirakis","R",49774
"Florida","13","Charlie Crist","D",48519
